UserID;DateTime;TargetDistance;TargetHeight;GravityStrength;BallType;BallMass;Score
-1;15.1.2026 15:11;1;1;-10;Tennis;5;0
-1;15.1.2026 15:12;3;3;-10;Tennis;5;0
-1;15.1.2026 15:12;1;3;-10;Tennis;5;0
-1;15.1.2026 15:12;1;3;-10;Tennis;5;0
-1;15.1.2026 15:12;3;1;-10;Tennis;5;0
-1;15.1.2026 15:12;3;3;-10;Tennis;5;0
-1;15.1.2026 15:12;3;1;-10;Tennis;5;0
-1;15.1.2026 15:12;2;2;-10;Tennis;5;0
-1;15.1.2026 15:12;2;3;-10;Tennis;5;4
-1;15.1.2026 15:12;2;1;-10;Tennis;5;2
-1;15.1.2026 15:12;3;1;-10;Tennis;5;0
-1;15.1.2026 15:12;2;3;-10;Tennis;5;8
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;2;3;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;3;2;-10;Tennis;5;0
1;15.1.2026 15:21;2;2;-10;Tennis;5;0
1;15.1.2026 15:21;2;3;-10;Tennis;5;3
1;15.1.2026 15:21;2;3;-10;Tennis;5;0
1;15.1.2026 15:21;1;3;-10;Tennis;5;6
1;15.1.2026 15:21;1;3;-10;Tennis;5;7
1;15.1.2026 15:21;2;1;-10;Tennis;5;0
1;15.1.2026 15:22;1;3;-10;Tennis;5;3
1;15.1.2026 15:22;2;3;-10;Tennis;5;0
1;15.1.2026 15:22;2;3;-10;Tennis;5;0
1;15.1.2026 15:22;1;2;-10;Tennis;5;2
1;15.1.2026 15:22;1;2;-10;Tennis;5;9
1;15.1.2026 15:22;3;3;-10;Tennis;5;0
1;15.1.2026 15:22;1;2;-10;Tennis;5;7
1;15.1.2026 15:23;1;1;-10;Tennis;5;0
1;15.1.2026 15:23;3;1;-10;Tennis;5;0
1;15.1.2026 15:23;1;3;-10;Tennis;5;0
1;15.1.2026 15:23;2;1;-10;Tennis;5;0
1;15.1.2026 15:23;1;1;-10;Tennis;5;0
1;15.1.2026 15:23;1;1;-10;Tennis;5;2
1;15.1.2026 15:23;3;1;-10;Tennis;5;0
1;15.1.2026 15:24;2;2;-10;Tennis;5;0
1;15.1.2026 15:24;2;1;-10;Tennis;5;0
1;15.1.2026 15:24;2;3;-10;Tennis;5;0
1;15.1.2026 15:24;1;1;-10;Tennis;5;6
1;15.1.2026 15:24;3;1;-10;Tennis;5;0
1;15.1.2026 15:24;1;1;-10;Tennis;5;3
1;15.1.2026 15:25;1;1;-10;Tennis;5;0
1;15.1.2026 15:25;2;1;-10;Tennis;5;0
1;15.1.2026 15:25;2;2;-10;Tennis;5;0
1;15.1.2026 15:25;3;1;-10;Tennis;5;0
1;15.1.2026 15:25;1;2;-10;Tennis;5;5
1;15.1.2026 15:25;2;3;-10;Tennis;5;0
1;15.1.2026 15:25;2;2;-10;Tennis;5;0
1;15.1.2026 15:25;1;3;-10;Tennis;5;6
1;15.1.2026 15:26;1;3;-10;Tennis;5;7
1;15.1.2026 15:26;3;2;-10;Tennis;5;0
1;15.1.2026 15:26;3;3;-10;Tennis;5;0
1;15.1.2026 15:26;1;2;-10;Tennis;5;0
1;15.1.2026 15:26;2;2;-10;Tennis;5;1
1;15.1.2026 15:26;3;2;-10;Tennis;5;0
-1;15.1.2026 15:29;0;0;-10;Tennis;5;1
-1;15.1.2026 15:29;1;1;-10;Tennis;5;0
-1;15.1.2026 15:29;1;3;-10;Tennis;5;0
-1;15.1.2026 15:29;1;2;-10;Tennis;5;0
-1;15.1.2026 15:29;1;1;-10;Tennis;5;0
-1;15.1.2026 15:29;2;2;-10;Tennis;5;0
-1;15.1.2026 15:29;1;1;-10;Tennis;5;5
-1;15.1.2026 15:29;3;3;-10;Tennis;5;0
